anexo,descricao_tabela,porte,potencial_poluidor,tlp_upfs,tli_upfs,tlo_upfs
ANEXO  XLIII,"Tabela de valores da TLP, TLI e TLO  do em preendim ento descrito no ITEM  86 do ANEXO  I",Pequeno,Baixo,30,30,30
ANEXO  XLIII,"Tabela de valores da TLP, TLI e TLO  do em preendim ento descrito no ITEM  86 do ANEXO  I",Excepcional,Baixo,60,60,60
ANEXO XLIV,"Tabela de valores da TLP, TLI e  TLO do em preendimento descrito no ITEM  87 do ANEXO I",Médio,Alto,10,10,30
ANEXO XLIV,"Tabela de valores da TLP, TLI e  TLO do em preendimento descrito no ITEM  87 do ANEXO I",Pequeno,Médio,5,10,20
ANEXO XLIV,"Tabela de valores da TLP, TLI e  TLO do em preendimento descrito no ITEM  87 do ANEXO I",Pequeno,Alto,10,20,40
ANEXO XLIV,"Tabela de valores da TLP, TLI e  TLO do em preendimento descrito no ITEM  87 do ANEXO I",Pequeno,Médio,5,20,30
ANEXO XLIV,"Tabela de valores da TLP, TLI e  TLO do em preendimento descrito no ITEM  87 do ANEXO I",Pequeno,Alto,10,30,50
ANEXO XLIV,"Tabela de valores da TLP, TLI e  TLO do em preendimento descrito no ITEM  87 do ANEXO I",Grande,Médio,5,30,40
ANEXO XLIV,"Tabela de valores da TLP, TLI e  TLO do em preendimento descrito no ITEM  87 do ANEXO I",Grande,Alto,10,40,60
ANEXO XLIV,"Tabela de valores da TLP, TLI e  TLO do em preendimento descrito no ITEM  87 do ANEXO I",Excepcional,Médio,5,40,50
ANEXO XLIV,"Tabela de valores da TLP, TLI e  TLO do em preendimento descrito no ITEM  87 do ANEXO I",Excepcional,Alto,10,50,70
ANEXO XLVI,"Tabela de valores da TLP, TLI e TLO do empreendimento descrito no ITEM 90.2 do ANEXO I",Mínimo,Baixo,5,8,10
ANEXO XLVI,"Tabela de valores da TLP, TLI e TLO do empreendimento descrito no ITEM 90.2 do ANEXO I",Pequeno,Baixo,10,15,30
ANEXO XLVI,"Tabela de valores da TLP, TLI e TLO do empreendimento descrito no ITEM 90.2 do ANEXO I",Pequeno,Médio,10,20,50
ANEXO XLVI,"Tabela de valores da TLP, TLI e TLO do empreendimento descrito no ITEM 90.2 do ANEXO I",Grande,Baixo,10,25,70
ANEXO XLVI,"Tabela de valores da TLP, TLI e TLO do empreendimento descrito no ITEM 90.2 do ANEXO I",Excepcional,Baixo,15,40,100
