ANEXO,DESCRICAO,PORTE,POTENCIAL_POLUIDOR,TLP,TLI,TLO
ANEXO XVII,"Tabela de valores da TLP, TLI e TLO das atividades e em preendim entos descritos no ITEM  18 do ANEXO I",Grande,Baixo,10.0,35.0,100.0
ANEXO XVII,"Tabela de valores da TLP, TLI e TLO das atividades e em preendim entos descritos no ITEM  18 do ANEXO I",Grande,Médio,10.0,60.0,180.0
ANEXO XVII,"Tabela de valores da TLP, TLI e TLO das atividades e em preendim entos descritos no ITEM  18 do ANEXO I",Excepcional,Alto,10.0,150.0,300.0
ANEXO XVIII,"Tabela de valores da TLP, TLI e TLO das atividades e empreendimentos descritos nos ITEM 19 do ANEXO I",Mínimo,Médio,2.0,5.0,8.0
ANEXO XVIII,"Tabela de valores da TLP, TLI e TLO das atividades e empreendimentos descritos nos ITEM 19 do ANEXO I",Pequeno,Médio,5.0,7.0,15.0
ANEXO XVIII,"Tabela de valores da TLP, TLI e TLO das atividades e empreendimentos descritos nos ITEM 19 do ANEXO I",Pequeno,Médio,10.0,15.0,40.0
ANEXO XVIII,"Tabela de valores da TLP, TLI e TLO das atividades e empreendimentos descritos nos ITEM 19 do ANEXO I",Grande,Médio,10.0,20.0,60.0
ANEXO XVIII,"Tabela de valores da TLP, TLI e TLO das atividades e empreendimentos descritos nos ITEM 19 do ANEXO I",Excepcional,Médio,10.0,25.0,100.0
ANEXO XXI,"Tabela de valores da TLP, TLI e TLO dos empreendimentos descritos nos ITENS 76.2 a 76.4 do ANEXO I",Pequeno,Médio,10.0,10.0,10.0
ANEXO XXI,"Tabela de valores da TLP, TLI e TLO dos empreendimentos descritos nos ITENS 76.2 a 76.4 do ANEXO I",Pequeno,Médio,15.0,15.0,15.0
ANEXO XXI,"Tabela de valores da TLP, TLI e TLO dos empreendimentos descritos nos ITENS 76.2 a 76.4 do ANEXO I",Grande,Médio,30.0,30.0,30.0
ANEXO XXI,"Tabela de valores da TLP, TLI e TLO dos empreendimentos descritos nos ITENS 76.2 a 76.4 do ANEXO I",Grande,Médio,50.0,50.0,50.0
ANEXO XXIV,"Tabela de valores da TLP, TLI e TLO dos empreendimentos descritos no ITEM N. 76.8 do ANEXO I",Mínimo,Alto,30.0,125.0,125.0
ANEXO XXIV,"Tabela de valores da TLP, TLI e TLO dos empreendimentos descritos no ITEM N. 76.8 do ANEXO I",Pequeno,Alto,60.0,160.0,160.0
