anexo,descricao_tabela,porte,potencial_poluidor,tlp_ufar,tli_ufar,tlo_ufar,fonte,tlp_upfs,tli_upfs,tlo_upfs
ANEXOIX,"TabeladevaloresdaTLP,TLIETLOdasatividadeseempreendimentosdescritosnoitem5.1DOANEXOI",Pequeno,Médio,46.0,51.0,57.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOIX,"TabeladevaloresdaTLP,TLIETLOdasatividadeseempreendimentosdescritosnoitem5.1DOANEXOI",Grande,Alto,51.0,57.0,63.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOIX,"TabeladevaloresdaTLP,TLIETLOdasatividadeseempreendimentosdescritosnoitem5.1DOANEXOI",Excepcional,Alto,68.0,91.0,103.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOX,"TabeladevaloresdaTLP,TLIETLOdasatividadeseempreendimentosdescritosnoitem5.2E5.4DOANEXOI",Mínimo,Alto,34.0,68.0,68.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOX,"TabeladevaloresdaTLP,TLIETLOdasatividadeseempreendimentosdescritosnoitem5.2E5.4DOANEXOI",Pequeno,Alto,46.0,103.0,103.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOX,"TabeladevaloresdaTLP,TLIETLOdasatividadeseempreendimentosdescritosnoitem5.2E5.4DOANEXOI",Pequeno,Médio,57.0,114.0,137.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOX,"TabeladevaloresdaTLP,TLIETLOdasatividadeseempreendimentosdescritosnoitem5.2E5.4DOANEXOI",Grande,Alto,68.0,137.0,171.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOX,"TabeladevaloresdaTLP,TLIETLOdasatividadeseempreendimentosdescritosnoitem5.2E5.4DOANEXOI",Excepcional,Alto,106.0,171.0,205.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXI,"TabeladevaloresdaTLP,TLIETLOdasatividadeseempreendimentosdescritosnoitem5.3DOANEXOI",Mínimo,Alto,28.0,34.0,40.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXI,"TabeladevaloresdaTLP,TLIETLOdasatividadeseempreendimentosdescritosnoitem5.3DOANEXOI",Pequeno,Alto,34.0,40.0,46.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXI,"TabeladevaloresdaTLP,TLIETLOdasatividadeseempreendimentosdescritosnoitem5.3DOANEXOI",Pequeno,Médio,40.0,46.0,51.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXI,"TabeladevaloresdaTLP,TLIETLOdasatividadeseempreendimentosdescritosnoitem5.3DOANEXOI",Grande,Alto,46.0,57.0,68.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXI,"TabeladevaloresdaTLP,TLIETLOdasatividadeseempreendimentosdescritosnoitem5.3DOANEXOI",Excepcional,Alto,57.0,68.0,91.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXII,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnosITEM6.1doANEXOI.",Mínimo,Alto,11.0,40.0,51.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXII,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnosITEM6.1doANEXOI.",Pequeno,Alto,11.0,57.0,91.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXII,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnosITEM6.1doANEXOI.",Pequeno,Médio,11.0,137.0,251.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXII,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnosITEM6.1doANEXOI.",Grande,Alto,11.0,228.0,342.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXII,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnosITEM6.1doANEXOI.",Excepcional,Alto,12.0,342.0,456.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXIII,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnositens6,7,8,10,11,12e13doANEXOI(comexceçãodoitem6.1)",Mínimo,Baixo,7.0,7.0,14.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXIII,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnositens6,7,8,10,11,12e13doANEXOI(comexceçãodoitem6.1)",Mínimo,Médio,8.0,8.0,16.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXIII,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnositens6,7,8,10,11,12e13doANEXOI(comexceçãodoitem6.1)",Mínimo,Alto,9.0,11.0,22.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXIII,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnositens6,7,8,10,11,12e13doANEXOI(comexceçãodoitem6.1)",Pequeno,Baixo,7.0,9.0,18.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXIII,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnositens6,7,8,10,11,12e13doANEXOI(comexceçãodoitem6.1)",Pequeno,Médio,9.0,12.0,23.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXIII,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnositens6,7,8,10,11,12e13doANEXOI(comexceçãodoitem6.1)",Pequeno,Alto,11.0,15.0,26.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXIII,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnositens6,7,8,10,11,12e13doANEXOI(comexceçãodoitem6.1)",Pequeno,Médio,11.0,14.0,23.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXIII,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnositens6,7,8,10,11,12e13doANEXOI(comexceçãodoitem6.1)",Pequeno,Médio,12.0,16.0,34.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXIII,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnositens6,7,8,10,11,12e13doANEXOI(comexceçãodoitem6.1)",Pequeno,Alto,13.0,17.0,38.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXIII,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnositens6,7,8,10,11,12e13doANEXOI(comexceçãodoitem6.1)",Grande,Baixo,13.0,28.0,46.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXIII,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnositens6,7,8,10,11,12e13doANEXOI(comexceçãodoitem6.1)",Grande,Médio,14.0,32.0,68.0,Ariquemes Lei 2.349/2019 (Anexos),,,
