ANEXO,DESCRICAO,PORTE,POTENCIAL_POLUIDOR,TLP,TLI,TLO
ANEXOXVII,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnoITEM18doANEXOI",Mínimo,Baixo,6,6,6
ANEXOXVII,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnoITEM18doANEXOI",Mínimo,Médio,11,11,34
ANEXOXVII,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnoITEM18doANEXOI",Mínimo,Alto,11,46,91
ANEXOXVII,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnoITEM18doANEXOI",Pequeno,Baixo,9,9,21
ANEXOXVII,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnoITEM18doANEXOI",Pequeno,Médio,11,23,68
ANEXOXVII,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnoITEM18doANEXOI",Pequeno,Alto,12,68,137
ANEXOXVII,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnoITEM18doANEXOI",Médio,Baixo,12,29,57
ANEXOXVII,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnoITEM18doANEXOI",Médio,Médio,12,52,138
ANEXOXVII,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnoITEM18doANEXOI",Médio,Alto,12,92,194
ANEXOXVII,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnoITEM18doANEXOI",Grande,Baixo,12,40,114
ANEXOXVII,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnoITEM18doANEXOI",Grande,Médio,12,68,206
ANEXOXVII,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnoITEM18doANEXOI",Grande,Alto,12,114,262
ANEXOXVII,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnoITEM18doANEXOI",Excepcional,Baixo,12,63,171
ANEXOXVII,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnoITEM18doANEXOI",Excepcional,Médio,12,115,273
ANEXOXVII,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnoITEM18doANEXOI",Excepcional,Alto,12,172,342
ANEXOXVIII,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnosITEM19doANEXOI.",Mínimo,Médio,2,6,9
ANEXOXVIII,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnosITEM19doANEXOI.",Pequeno,Médio,6,8,17
ANEXOXVIII,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnosITEM19doANEXOI.",Médio,Médio,11,17,46
ANEXOXVIII,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnosITEM19doANEXOI.",Grande,Médio,11,23,69
ANEXOXVIII,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnosITEM19doANEXOI.",Excepcional,Médio,11,29,114
ANEXOXVIII,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnosITEM19doANEXOI.",Mínimo,Baixo,9,9,9
ANEXOXVIII,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnosITEM19doANEXOI.",Mínimo,Médio,11,11,11
