ANEXO,DESCRICAO,PORTE,POTENCIAL_POLUIDOR,TLP,TLI,TLO
ANEXO XXXIII,"Tabela de valores da TLP, TLI e TLO do empreendimento descrito no ITEM 79.1 do ANEXO I POTENCIAL",-,Alto,30.0,100.0,150.0
ANEXO XXXIV,"Tabela de valores da TLP, TLI e TLO do empreendimento descrito no ITEM 79.2 do ANEXO I POTENCIAL",-,Alto,50.0,150.0,200.0
ANEXO XXXV,"Tabela de valores da TLP, TLI e TLO do empreendimento descrito no ITEM 79.3 do ANEXO I",Mínimo,Alto,80.0,125.0,300.0
ANEXO XXXVII,"Tabela de valores da TLP, TLI e TL O do empreendimento descrito no ITEM 79.7 do ANEXO I",Mínimo,Alto,15.0,35.0,64.0
ANEXO XXXVII,"Tabela de valores da TLP, TLI e TL O do empreendimento descrito no ITEM 79.7 do ANEXO I",Pequeno,Alto,20.0,70.0,80.0
ANEXO XXXVII,"Tabela de valores da TLP, TLI e TL O do empreendimento descrito no ITEM 79.7 do ANEXO I",Médio,Alto,30.0,175.0,240.0
ANEXO XXXVII,"Tabela de valores da TLP, TLI e TL O do empreendimento descrito no ITEM 79.7 do ANEXO I",Grande,Alto,40.0,210.0,280.0
ANEXO XXXVII,"Tabela de valores da TLP, TLI e TL O do empreendimento descrito no ITEM 79.7 do ANEXO I",Excepcional,Alto,50.0,280.0,320.0
ANEXO XLI,"Tabela de valores da TLP, TLI eTLO do empreendimento descrito no item 81.10 do ANEXO I",Mínimo,Médio,10.0,40.0,100.0
ANEXO XLI,"Tabela de valores da TLP, TLI eTLO do empreendimento descrito no item 81.10 do ANEXO I",Pequeno,Médio,10.0,50.0,130.0
ANEXO XLI,"Tabela de valores da TLP, TLI eTLO do empreendimento descrito no item 81.10 do ANEXO I",Médio,Médio,10.0,60.0,160.0
ANEXO XLI,"Tabela de valores da TLP, TLI eTLO do empreendimento descrito no item 81.10 do ANEXO I",Grande,Médio,10.0,70.0,190.0
ANEXO XLI,"Tabela de valores da TLP, TLI eTLO do empreendimento descrito no item 81.10 do ANEXO I",Excepcional,Médio,10.0,80.0,220.0
ANEXO XLII,"Tabela de valores da TLP, TLI e TLO do empreendimento descrito no ITEM 85 do ANEXO I",Mínimo,Médio,20.0,40.0,150.0
ANEXO XLII,"Tabela de valores da TLP, TLI e TLO do empreendimento descrito no ITEM 85 do ANEXO I",Pequeno,Médio,40.0,60.0,200.0
ANEXO XLII,"Tabela de valores da TLP, TLI e TLO do empreendimento descrito no ITEM 85 do ANEXO I",Médio,Médio,60.0,80.0,300.0
ANEXO XLII,"Tabela de valores da TLP, TLI e TLO do empreendimento descrito no ITEM 85 do ANEXO I",Grande,Médio,80.0,100.0,400.0
ANEXO XLII,"Tabela de valores da TLP, TLI e TLO do empreendimento descrito no ITEM 85 do ANEXO I",Excepcional,Médio,100.0,150.0,500.0
ANEXO XLIII,"Tabela de valores da TLP, TLI e TLO do empreendimento descrito no ITEM 86 do ANEXO I",Médio,Médio,0.0,0.0,0.0
ANEXO XLIII,"Tabela de valores da TLP, TLI e TLO do empreendimento descrito no ITEM 86 do ANEXO I",Médio,Baixo,0.0,0.0,0.0
ANEXO XLIII,"Tabela de valores da TLP, TLI e TLO do empreendimento descrito no ITEM 86 do ANEXO I",Médio,Médio,10.0,10.0,20.0
ANEXO XLIII,"Tabela de valores da TLP, TLI e TLO do empreendimento descrito no ITEM 86 do ANEXO I",Médio,Baixo,30.0,30.0,30.0
ANEXO XLIII,"Tabela de valores da TLP, TLI e TLO do empreendimento descrito no ITEM 86 do ANEXO I",Médio,Médio,50.0,50.0,50.0
ANEXO XLIII,"Tabela de valores da TLP, TLI e TLO do empreendimento descrito no ITEM 86 do ANEXO I",Excepcional,Baixo,60.0,60.0,60.0
ANEXO XLIII,"Tabela de valores da TLP, TLI e TLO do empreendimento descrito no ITEM 86 do ANEXO I",Excepcional,Médio,90.0,90.0,90.0
ANEXO XLIV,"Tabela de valores da TLP, TLI e TLO do empreendimento descrito no ITEM 87 do ANEXO I",Excepcional,Médio,5.0,30.0,40.0
ANEXO XLIV,"Tabela de valores da TLP, TLI e TLO do empreendimento descrito no ITEM 87 do ANEXO I",Excepcional,Alto,10.0,40.0,60.0
ANEXO XLIV,"Tabela de valores da TLP, TLI e TLO do empreendimento descrito no ITEM 87 do ANEXO I",Excepcional,Médio,5.0,40.0,50.0
ANEXO XLIV,"Tabela de valores da TLP, TLI e TLO do empreendimento descrito no ITEM 87 do ANEXO I",Excepcional,Alto,10.0,50.0,70.0
ANEXO XLV,"Tabela de valores da TLP, TLI e TLO do empreendimento descrito no ITEM 90 do ANEXO I",Mínimo,Baixo,0.0,0.0,1.0
